instruction,input,output
Web development interview question,,Explain HTML5 Web storage.
Web development interview question,,Explain DOM
Web development interview question,,What do you know about pair programming
Web development interview question,,"While building a web application, how do you consider SEO, maintainability, UX, performance, and security?"
Web development interview question,,State the difference between SVG (Scalable Vector Graphics) and Canvas.
Web development interview question,,What is Type Coercion in JavaScript?
Web development interview question,,State the difference between <window.onload> and <onDocumentReady>?
Web development interview question,,Describe the different kinds of HTTP requests supported by RESTful Web services.
Web development interview question,,How does CORS work?
Web development interview question,,What is an Entity Tag?
Web development interview question,,Can you define what Long Polling is?
Web development interview question,,What is DTD and what is the difference between PCDATA and CDATA in DTD?
Web development interview question,,What are the APIs that the HTML5 standard provides?
Web development interview question,,What is the best way to integrate different style sheets into a website?
Web development interview question,,How do you optimize the loading time of your web application as a Web Developer?
Web development interview question,,Define NPM
Web development interview question,,What are the different popup boxes that are available in JavaScript?
Web development interview question,,Explain the term “Scope” in JavaScript and write its different types.
Web development interview question,,Can you explain what AJAX is?
Web development interview question,,What do you mean by CDN (Content Delivery Network) in jQuery?
Web development interview question,,Explain W3C (World Wide Consortium).
Web development interview question,,What do you mean by CSS Selectors? Name a Few.
Web development interview question,,"In CSS, there are numerous different sorts of selectors. Give some examples."
Web development interview question,,How do pseudo-classes work?
Web development interview question,,Why are media queries used in CSS?
Web development interview question,,State difference between Local Storage and Cookies.
Web development interview question,,What is the purpose of Canvas in HTML?
Web development interview question,,What is the purpose of closures in JavaScript?
Web development interview question,,What is an event loop in Node JS?
Web development interview question,,What is a Blocking Code?
Web development interview question,,What is the CSS Grid System?
Web development interview question,,What are Angular Route Guards?
Web development interview question,,Can you compare MongoDB and SQL Databases?
Web development interview question,,Are all the Object-Oriented Programming Principles supported in Typescript?
Web development interview question,,What is the difference between client-side and server-side programming?
Web development interview question,,What is the use of HTTP cookies?
Web development interview question,,Explain the concept of responsive web design
Web development interview question,,What is a content delivery network (CDN)?
Web development interview question,,What are some common performance optimization techniques for web applications?
Web development interview question,,What is cross-origin resource sharing (CORS)?
Web development interview question,,"What is the purpose of HTML, CSS, and JavaScript in web development?"
Web development interview question,,What does the box model in CSS represent?
Web development interview question,,What is event propagation in JavaScript?
Web development interview question,,What is the document object model (DOM)?
Web development interview question,,How can you achieve progressive rendering in web applications?
Web development interview question,,What are the benefits of using CSS pre- and post-processors?
Web development interview question,,How do you handle issues with browser compatibility?
Web development interview question,,What are the different ways to implement secure authentication in web applications?
Web development interview question,,Explain web components and their benefits
Web development interview question,,What is the difference between React and Angular?
Web development interview question,,"What is XSS, and how can you prevent it?"
Web development interview question,,Explain the concept of server-side rendering (SSR) vs. client-side rendering (CSR)
Web development interview question,,"What is asset bundling, and why is it important?"
Web development interview question,,Explain the concept of server push in HTTP/2
Web development interview question,,What is the role of state managers?
Web development interview question,,What are the benefits of using CSS Grid and Flexbox layouts?
Web development interview question,,What is the role of TypeScript?
Web development interview question,,"What is a single-page application (SPA), and how does it differ from a traditional multi-page application (MPA)?"
Web development interview question,,Explain JavaScript Promises and their advantages over callbacks
Web development interview question,,How do you measure the performance of a web application?
Web development interview question,,"What are Service Workers, and how do they benefit web applications?"
Web development interview question,,Explain the differences between a RESTful API and a GraphQL API
software development interview question,,"Given an array n integers, are there elements a, b, c in array such that sum of (a,b,c) equals to a particular target X?
 This Problem can easily be solved in naive O(n³) time complexity. But how do you Solve it in O(n²). With follow up questions like How will you Solve if you want unique Triplets?"
software development interview question,,Merge two sorted linked lists and return it as a new list. The new list should be made by splicing together the nodes of the first two lists.
software development interview question,,"Given a paragraph and a list of banned words, return the most frequent word that is not in the list of banned words. This Problem will aid you in learning and implementing Hash Maps and Sets together."
software development interview question,,What is caching? explain in detail.
software development interview question,,Given a matrix if an element in the matrix is 0 then you will have to set its entire column and row to 0 and then return the matrix.
software development interview question,,"Given row number r and column number c. Print the element at position (r, c) in Pascal’s triangle."
software development interview question,,Given the row number n. Print the n-th row of Pascal’s triangle.
software development interview question,,"Given an array Arr[] of integers, rearrange the numbers of the given array into the lexicographically next greater permutation of numbers. If such an arrangement is not possible, it must rearrange to the lowest possible order (i.e., sorted in ascending order)."
software development interview question,,"Given an integer array arr, find the contiguous subarray (containing at least one number) which has the largest sum and returns its sum and prints the subarray."
software development interview question,,"Given an array consisting of only 0s, 1s, and 2s. Write a program to in-place sort the array without using inbuilt sort functions. ( Expected: Single pass-O(N) and constant space)"
software development interview question,,"You are given an array of prices where prices[i] is the price of a given stock on an ith day. You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock. Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0."
software development interview question,,"Given a matrix, your task is to rotate the matrix 90 degrees clockwise."
software development interview question,,"Given an array of intervals, merge all the overlapping intervals and return an array of non-overlapping intervals."
software development interview question,,Given two sorted arrays arr1[] and arr2[] of sizes n and m in non-decreasing order. Merge them in sorted order. Modify arr1 so that it contains the first N elements and modify arr2 so that it contains the last M elements.
software development interview question,,"Given an array of N + 1 size, where each element is between 1 and N. Assuming there is only one duplicate number, your task is to find the duplicate number."
software development interview question,,"You are given a read-only array of N integers with values also in the range [1, N] both inclusive. Each integer appears exactly once except A which appears twice and B which is missing. The task is to find the repeating and missing numbers A and B where A repeats twice and B is missing."
software development interview question,,"You are given a read-only array of N integers with values also in the range [1, N] both inclusive. Each integer appears exactly once except A which appears twice and B which is missing. The task is to find the repeating and missing numbers A and B where A repeats twice and B is missing."
software development interview question,,"Given an array of N integers, count the inversion of the array What is an inversion of an array? Definition: for all i & j < size of array, if i < j then you have to find pair (A[i],A[j]) such that A[j] < A[i]."
software development interview question,,"You have been given a 2-D array 'mat' of size 'N x M' where 'N' and 'M' denote the number of rows and columns, respectively. The elements of each row are sorted in non-decreasing order. Moreover, the first element of a row is greater than the last element of the previous row (if it exists). You are given an integer ‘target’, and your task is to find if it exists in the given 'mat' or not."
software development interview question,,"Given a double x and integer n, calculate x raised to power n. Basically Implement pow(x, n)."
software development interview question,,"Given an array of N integers, write a program to return an element that occurs more than N/2 times in the given array. You may consider that such an element always exists in the array."
software development interview question,,"Given an array of N integers. Find the elements that appear more than N/3 times in the array. If no such element exists, return an empty vector."
software development interview question,,"Given a matrix m X n, count paths from left-top to the right bottom of a matrix with the constraints that from each cell you can either only move to the rightward direction or the downward direction."
software development interview question,,"Given an array of numbers, you need to return the count of reverse pairs. Reverse Pairs are those pairs where i<j and arr[i]>2*arr[j]."
software development interview question,,"You have been given a 2-D array 'mat' of size 'N x M' where 'N' and 'M' denote the number of rows and columns, respectively. The elements of each row are sorted in non-decreasing order. Moreover, the first element of a row is greater than the last element of the previous row (if it exists). You are given an integer ‘target’, and your task is to find if it exists in the given 'mat' or not."
software development interview question,,"Given a double x and integer n, calculate x raised to power n. Basically Implement pow(x, n)."
software development interview question,,"Given an array of N integers, your task is to find unique quads that add up to give a target value. In short, you need to return an array of all the unique quadruplets [arr[a], arr[b], arr[c], arr[d]] such that their sum is equal to a given target."
software development interview question,,"Given an array containing both positive and negative integers, we have to find the length of the longest subarray with the sum of all elements equal to zero."
software development interview question,,Given an array of integers A and an integer B. Find the total number of subarrays having bitwise XOR of all elements equal to k.
software development interview question,,"Given the head of a singly linked list, write a program to reverse the linked list, and return the head pointer to the reversed list."
software development interview question,,"Given the head of a singly linked list, return the middle node of the linked list. If there are two middle nodes, return the second middle node."
software development interview question,,"Given a linked list and an integer N, the task is to delete the Nth node from the end of the linked list and print the updated linked list."
software development interview question,,"Write a function to delete a node in a singly-linked list. You will not be given access to the head of the list instead, you will be given access to the node to be deleted directly. It is guaranteed that the node to be deleted is not a tail node in the list."
software development interview question,,"Given the heads of two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list."
software development interview question,,"Write a function to delete a node in a singly-linked list. You will not be given access to the head of the list instead, you will be given access to the node to be deleted directly. It is guaranteed that the node to be deleted is not a tail node in the list."
software development interview question,,"Given the head of a singly linked list of `n` nodes and an integer `k`, where k is less than or equal to `n`. Your task is to reverse the order of each group of `k` consecutive nodes, if `n` is not divisible by `k`, then the last group of remaining nodes should remain unchanged."
software development interview question,,Given a Linked list that has two pointers in each node and one of which points to the first node and the other points to any random node. Write a program to clone the LinkedList.
software development interview question,,"Given an array print all the sum of the subset generated from it, in the increasing order."
software development interview question,,Given an array of integers that may contain duplicates the task is to return all possible subsets. Return only unique subsets and they can be in any order.
software development interview question,,"Given a collection of candidate numbers (candidates) and a target number (target), find all unique combinations in candidates where the candidate numbers sum to target. Each number in candidates may only be used once in the combination."
software development interview question,,"Given an array arr of distinct integers, print all permutations of String/Array."
software development interview question,,"The n-queens is the problem of placing n queens on n × n chessboard such that no two queens can attack each other. Given an integer n, return all distinct solutions to the n -queens puzzle. Each solution contains a distinct boards configuration of the queen's placement, where ‘Q’ and ‘.’ indicate queen and empty space respectively."
software development interview question,,"Given an undirected graph and a number m, determine if the graph can be colored with at most m colors such that no two adjacent vertices of the graph are colored with the same color."
software development interview question,,"Given two numbers N and M, find the Nth root of M. The nth root of a number M is defined as a number X when raised to the power N equals M. If the 'nth root is not an integer, return -1."
software development interview question,,"Given a row-wise sorted matrix of size r*c, where r is no. of rows and c is no. of columns, find the median in the given matrix."
software development interview question,,Given an array of N integers. Every number in the array except one appears twice. Find the single number in the array.
software development interview question,,"Given two sorted arrays of size m and n respectively, you are tasked with finding the element that would be at the kth position of the final sorted array."
software development interview question,,You are given an array 'arr' of size 'n' which denotes the position of stalls. You are also given an integer 'k' which denotes the number of aggressive cows. You are given the task of assigning stalls to 'k' cows such that the minimum distance between any two of them is the maximum possible. Find the maximum possible minimum distance.
software development interview question,,"Given an unsorted array, print Kth Largest and Smallest Element from an unsorted array."
software development interview question,,Implement a stack using an array.
software development interview question,,"Implement Queue Data Structure using Array with all functions like pop, push, top, size, etc."
software development interview question,,"Implement Queue Data Structure using Array with all functions like pop, push, top, size, etc."
software development interview question,,"Check Balanced Parentheses. Given string str containing just the characters '(', ')', '{', '}', '[' and ']', check if the input string is valid and return true if the string is balanced otherwise return false."
software development interview question,,"Given a circular integer array A, return the next greater element for every element in A. The next greater element for an element x is the first element greater than x that we come across while traversing the array in a clockwise manner. If it doesn't exist, return -1 for this element."
software development interview question,,A Queue is a linear data structure that works on the basis of FIFO(First in First out). This means the element added at first will be removed first from the Queue.
software development interview question,,"Given a circular integer array A, return the next greater element for every element in A. The next greater element for an element x is the first element greater than x that we come across while traversing the array in a clockwise manner. If it doesn't exist, return -1 for this element."
software development interview question,,Given an array of integers heights representing the histogram's bar height where the width of each bar is 1 return the area of the largest rectangle in histogram.
software development interview question,,"Given an array of integers arr, there is a sliding window of size k which is moving from the very left of the array to the very right. You can only see the k numbers in the window. Each time the sliding window moves right by one position. Return the max sliding window."
software development interview question,,"Implement Min Stack | O(2N) and O(N) Space Complexity. Design a stack that supports push, pop, top, and retrieving the minimum element in constant time."
software development interview question,,"Given a string s, reverse the words of the string."
software development interview question,,"Given the root of a Binary Tree, write a recursive function that returns an array containing the inorder traversal of the tree."
software development interview question,,"Given the root of a Binary Tree, write a recursive function that returns an array containing the postorder traversal of the tree."
software development interview question,,Write a program for Morris Inorder Traversal of a Binary Tree.
software development interview question,,"Given a Binary Tree, find the Morris preorder traversal of Binary Tree"
software development interview question,,"Given a Binary Tree, find the Right/Left view of it. The right view of a Binary Tree is a set of nodes visible when the tree is viewed from the right side. The left view of a Binary Tree is a set of nodes visible when the tree is viewed from the left side."
software development interview question,,"Given a Binary Tree, find the Right/Left view of it. The right view of a Binary Tree is a set of nodes visible when the tree is viewed from the right side. The left view of a Binary Tree is a set of nodes visible when the tree is viewed from the left side."
software development interview question,,"Given a Binary Tree, return its Bottom View. The Bottom View of a Binary Tree is the set of nodes visible when we see the tree from the bottom."
software development interview question,,"Given a Binary Tree, return its Top View. The Top View of a Binary Tree is the set of nodes visible when we see the tree from the top."
software development interview question,,"Given the root of a Binary Tree, return the preorder, inorder and postorder traversal sequence of the given tree by making just one traversal."
software development interview question,,"Given a Binary Tree, return the Vertical Order Traversal of it starting from the Leftmost level to the Rightmost level. If there are multiple nodes passing through a vertical line, then they should be printed as they appear in level order traversal of the tree."
software development interview question,,"Given a Binary Tree, return its maximum width. The maximum width of a Binary Tree is the maximum diameter among all its levels. The width or diameter of a level is the number of nodes between the leftmost and rightmost nodes."
software development interview question,,"Given the root of a Binary Tree, returns an array containing the level order traversal of the tree."
software development interview question,,"Given the root of a Binary Tree, return the height of the tree. The height of the tree is equal to the number of nodes on the longest path from root to a leaf."
software development interview question,,"Given a Binary Tree, print the zigzag traversal of the Binary Tree. Zigzag traversal of a binary tree is a way of visiting the nodes of the tree in a zigzag pattern, alternating between left-to-right and right-to-left at each level."
software development interview question,,"Given two Binary Trees, return if true if the two trees are identical, otherwise return false."
software development interview question,,"Given a Binary Tree, print the zigzag traversal of the Binary Tree. Zigzag traversal of a binary tree is a way of visiting the nodes of the tree in a zigzag pattern, alternating between left-to-right and right-to-left at each level."
software development interview question,,"Given a Binary Tree, perform the boundary traversal of the tree. The boundary traversal is the process of visiting the boundary nodes of the binary tree in the anticlockwise direction, starting from the root."
software development interview question,,"Given a Binary Tree, determine the maximum sum achievable along any path within the tree. A path in a binary tree is defined as a sequence of nodes where each pair of adjacent nodes is connected by an edge. Nodes can only appear once in the sequence, and the path is not required to start from the root. Identify and compute the maximum sum possible along any path within the given binary tree."
software development interview question,,"Given the Preorder and Inorder traversal of a Binary Tree, construct the Unique Binary Tree represented by them."
software development interview question,,"Given a Binary Tree, determine whether the given tree is symmetric or not. A Binary Tree would be Symmetric, when its mirror image is exactly the same as the original tree. If we were to draw a vertical line through the centre of the tree, the nodes on the left and right side would be mirror images of each other."
software development interview question,,"Given a Binary Tree, convert the value of its nodes to follow the Children Sum Property. The Children Sum Property in a binary tree states that for every node, the sum of its children's values (if they exist) should be equal to the node's value. If a child is missing, it is considered as having a value of 0."
software development interview question,,Given a Binary Search Tree and an integer ‘K’. Find and return the ‘K-th’ smallest and ‘K-th’ largest element in the given Binary Search Tree.
software development interview question,,"Given a Binary Tree, design an algorithm to serialise and deserialise it. There is no restriction on how the serialisation and deserialization takes place. But it needs to be ensured that the serialised binary tree can be deserialized to the original tree structure. Serialisation is the process of translating a data structure or object state into a format that can be stored or transmitted (for example, across a computer network) and reconstructed later. The opposite operation, that is, extracting a data structure from stored information, is deserialization."
software development interview question,,"Given an undirected graph, return a vector of all nodes by traversing the graph using depth-first search (DFS)."
software development interview question,,"Given an undirected graph, return a vector of all nodes by traversing the graph using breadth-first search (BFS)."
software development interview question,,"Given an undirected graph with V vertices and E edges, check whether it contains any cycle or not."
software development interview question,,"Given a Directed Graph with V vertices and E edges, check whether it contains any cycle or not."
software development interview question,,Given a boolean 2D matrix grid of size N x M. You have to find the number of distinct islands where a group of connected 1s (horizontally or vertically) forms an island. Two islands are considered to be distinct if and only if one island is equal to another (not rotated or reflected).
software development interview question,,Given an adjacency list of a graph adj of V no. of vertices having 0 based index. Check whether the graph is bipartite or not.
software development interview question,,"Given a Directed Graph with V vertices (Numbered from 0 to V-1) and E edges, Find the number of strongly connected components in the graph."
software development interview question,,"Given a weighted, directed and connected graph of V vertices and E edges, Find the shortest distance of all the vertices from the source vertex S."
software development interview question,,"The problem is to find the shortest distances between every pair of vertices in a given edge-weighted directed graph. The graph is represented as an adjacency matrix of size n*n. Matrix[i][j] denotes the weight of the edge from i to j. If Matrix[i][j]=-1, it means there is no edge from i to j."
software development interview question,,"Given a weighted, undirected, and connected graph of V vertices and E edges. The task is to find the sum of weights of the edges of the Minimum Spanning Tree."
software development interview question,,"Given a weighted, undirected, and connected graph of V vertices and E edges. The task is to find the sum of weights of the edges of the Minimum Spanning Tree."
software development interview question,,"Given an array that contains both negative and positive integers, find the maximum product subarray."
software development interview question,,Given a string of alphabetic characters. Return the count of distinct substrings of the string(including the empty string) using the Trie data structure.
software development interview question,,"Given a string, find all the possible subsequences of the string."
Application development interview question,,What is your development methodology when designing applications and features?
Application development interview question,,What programming language do you consider to be the most effective for developing applications?
Application development interview question,,"Which programming languages are you most comfortable with, and why?"
Application development interview question,,What techniques do you use to develop learning aids for application development?
Application development interview question,,What strategies do you implement to prevent an application from crashing?
Application development interview question,,Describe a programming challenge you encountered and what you did to solve it.
Application development interview question,,How do you balance client demands with application software development?
Application development interview question,,How would you explain object-oriented programming to someone without a technical background?
Application development interview question,,"Do you have experience with the agile methodology? If so, describe some pros and cons of implementing it in software development."
Application development interview question,,What kind of tests do you perform before the launch of a product or service?
Application development interview question,,How do you differentiate quality control from quality assurance during software testing?
Application development interview question,,Tell me how applications interact with system software and other IT infrastructures.
Application development interview question,,What techniques do you use to migrate an application from one platform to another with a different operating system?
Application development interview question,,How do you stay up to date on technology and industry development?
Application development interview question,,What are some of the challenges of working with onshore and offshore teams?
Application development interview question,,How do web applications differ from mobile applications?
Application development interview question,,How can you store data in Android and iOS? Which databases and native solutions are available?
Application development interview question,,What are internationalization and localization? Do these terms mean the same thing?
Application development interview question,,What is the best way for a server to notify an app that some new data is available?
Application development interview question,,How can you debug your app when it’s already released?
Application development interview question,,How can sensitive data like contacts or access to the camera (or other sensors) be secured in the world of mobile apps?
Application development interview question,,What is the difference between native apps and hybrid apps? What are the advantages and disadvantages of hybrid apps?
Application development interview question,,What are the main things you have to be cautious about when writing for mobile?
Application development interview question,,Describe the process of publishing apps on Google Play and in Apple’s App Store. What do you need to publish an app to each store?
